,original_sentiment,finbert_sentiment,roberta_sentiment,deberta_sentiment
original_sentiment,1.0,0.6967357946619548,0.5894169069096996,0.7529991630242723
finbert_sentiment,0.6967357946619548,1.0,0.6157351436808333,0.79261601413559
roberta_sentiment,0.5894169069096996,0.6157351436808333,1.0,0.6299637310517995
deberta_sentiment,0.7529991630242723,0.79261601413559,0.6299637310517995,1.0
