ticker,news_model,target_column,accuracy,auc,optimal_threshold
AAPL,deberta,Binary_Price,0.5608108108108109,0.5016544117647059,0.5228157
AAPL,finbert,Binary_Price,0.5472972972972973,0.5253676470588236,0.512494
AAPL,lr,Binary_Price,0.5878378378378378,0.544485294117647,0.5054488
AAPL,rf,Binary_Price,0.5743243243243243,0.48658088235294117,0.4939509
AAPL,roberta,Binary_Price,0.5945945945945946,0.5600183823529412,0.52076155
AAPL,svm,Binary_Price,0.581081081081081,0.5435661764705882,0.49519527
AMZN,deberta,Binary_Price,0.5135135135135135,0.48003663003663005,0.52412635
AMZN,finbert,Binary_Price,0.5405405405405406,0.49139194139194137,0.512407
AMZN,lr,Binary_Price,0.5743243243243243,0.5446886446886448,0.50616413
AMZN,rf,Binary_Price,0.5202702702702703,0.4551282051282052,0.5017122
AMZN,roberta,Binary_Price,0.5202702702702703,0.45183150183150184,0.520674
AMZN,svm,Binary_Price,0.581081081081081,0.5785714285714285,0.5016853
MSFT,deberta,Binary_Price,0.6195652173913043,0.4491400491400491,0.52096516
MSFT,finbert,Binary_Price,0.6413043478260869,0.44176904176904175,0.5120417
MSFT,lr,Binary_Price,0.6304347826086957,0.6063882063882063,0.5069461
MSFT,rf,Binary_Price,0.44565217391304346,0.4206388206388206,0.5370775
MSFT,roberta,Binary_Price,0.6630434782608695,0.4515970515970516,0.5204713
MSFT,svm,Binary_Price,0.4782608695652174,0.5174447174447174,0.6118972
NFLX,deberta,Binary_Price,0.5915492957746479,0.5556438791732909,0.5229791
NFLX,finbert,Binary_Price,0.5492957746478874,0.5127186009538951,0.5124555
NFLX,lr,Binary_Price,0.5633802816901409,0.49682034976152634,0.507572
NFLX,rf,Binary_Price,0.6056338028169014,0.5063593004769475,0.4877406
NFLX,roberta,Binary_Price,0.6056338028169014,0.5524642289348172,0.5204096
NFLX,svm,Binary_Price,0.5352112676056338,0.46899841017488075,0.5127324
TSLA,deberta,Binary_Price,0.532608695652174,0.46335697399527187,0.52108544
TSLA,finbert,Binary_Price,0.5978260869565217,0.5484633569739952,0.51228964
TSLA,lr,Binary_Price,0.6086956521739131,0.5810874704491726,0.5079928
TSLA,rf,Binary_Price,0.5652173913043478,0.5026004728132387,0.4945976
TSLA,roberta,Binary_Price,0.5543478260869565,0.4723404255319149,0.52052784
TSLA,svm,Binary_Price,0.5217391304347826,0.4936170212765958,0.6231069
