,Negative,Neutral,Positive,accuracy,macro avg,weighted avg
precision,0.8932506887052342,0.4434519719664697,0.8962450592885376,0.5894169069096996,0.7443159066534139,0.7473630631590411
recall,0.41490722968650035,0.9180654338549076,0.441147859922179,0.5894169069096996,0.5913735078211956,0.5894169069096996
f1-score,0.5666229794670161,0.5980355819125278,0.5912646675358539,0.5894169069096996,0.5853077429717993,0.5863144068765795
support,3126.0,3515.0,4112.0,0.5894169069096996,10753.0,10753.0
