,Negative,Neutral,Positive,accuracy,macro avg,weighted avg
precision,0.7496701846965699,0.5806451612903226,0.8109546165884194,0.6967357946619548,0.7137566541917707,0.7178538196511245
recall,0.7271273192578375,0.7476529160739687,0.6301070038910506,0.6967357946619548,0.7016290797409521,0.6967357946619548
f1-score,0.7382266969795388,0.6536500435269245,0.7091829752292322,0.6967357946619548,0.7003532385785651,0.6994733517992915
support,3126.0,3515.0,4112.0,0.6967357946619548,10753.0,10753.0
