,Negative,Neutral,Positive,accuracy,macro avg,weighted avg
precision,0.7596070499855533,0.645528858062918,0.8792626728110599,0.7529991630242723,0.7614661936198437,0.7680734385701733
recall,0.8410108765195138,0.7413940256045519,0.6960116731517509,0.7529991630242723,0.7594721917586055,0.7529991630242723
f1-score,0.7982389555184454,0.6901483050847458,0.7769784172661871,0.7529991630242723,0.7551218926231261,0.7547755527873248
support,3126.0,3515.0,4112.0,0.7529991630242723,10753.0,10753.0
